english	math	science	
B+	A-	B+, A	eng, psych, asr
A-	A	A, A-	eng, cs, psych
D-	F	C	eng
B	C, C-	B-, B-	trig, ab, cs
C	B-	D	eng
B+	B-	B	
A-	C	B+	eng
B+	B	C+, A	eng, apes (c)
B	C	C	
A-	B+	B	
A-	B	B	eng
A-	B-	B	
C+	C+	C-	
B+	B	A-	eng
B+	B	B+	eng, ab, physics
A-	B+	B+	eng, physics
A-	A, A	A, A+	eng, stats, calc, cs, physics
B-	C-	D	eng
B+	B+	B	physics
B-	B-	B	
A-	B	B, B	cs, physics
A-	A-	A, A	eng, ab, physics, bio
C	C	B-	
B+	A	A, A	eng, bio 
A	A	A, A	eng, cs, physics
D-	D	C+	eng
A	B-	C+	physics
C+	C	D	
B	D+	B-	
B-	C+	B-	